Audio File,User Choice,Correct Answer,Is Correct
SingleTalker_SNR_0_dB_reach.wav,reach,SingleTalker_SNR_0_dB_reach,False
SingleTalker_SNR_-4_dB_shooed.wav,should,SingleTalker_SNR_-4_dB_shooed,False
